index,latent_dim,hidden_dim,epochs,learning_rate,kl_div_loss_weight,nb_clusters,stability
137,8,40,150,-3.0,0.5,5,0.8246993095176521
138,8,40,130,-3.0,1.0,4,0.9112108662069783
139,8,60,90,-3.0,0.1,2,0.8420883911028386
140,8,20,100,-3.0,0.5,5,0.8999678255174652
141,2,50,130,-2.0,0.5,5,0.7953715647386758
142,9,30,90,-3.0,0.5,3,0.9092937666242271
144,4,30,110,-2.0,0.1,4,0.7470060700059136
145,4,60,110,-3.0,0.5,4,0.8839980534417433
146,7,30,110,-2.0,0.1,3,0.8639447281285777
147,4,30,90,-3.0,0.5,4,0.8739042609433962
148,3,30,140,-2.0,0.5,5,0.8428111611656272
149,2,40,130,-3.0,1.0,5,0.7288039160804574
150,5,40,140,-2.0,0.1,4,0.8785280271595354
151,4,60,90,-2.0,0.1,3,0.8161653449419086
152,3,20,150,-2.0,0.1,5,0.8043956535707774
153,7,50,140,-3.0,0.1,5,0.8154526818650996
154,8,20,120,-3.0,0.5,5,0.93647626376549
155,10,40,90,-2.0,0.1,4,0.641315231558181
156,4,50,130,-2.0,0.5,4,0.8807842413239162
157,9,40,90,-3.0,0.5,2,0.892958176434037
158,9,20,110,-3.0,1.0,5,0.8722420665572761
159,6,30,110,-2.0,0.1,4,0.8781097394603607
160,2,20,100,-2.0,0.5,4,0.861065757150413
161,8,40,100,-3.0,1.0,2,0.903745525164481
162,6,60,130,-3.0,0.5,3,0.8886562461745793
163,4,20,120,-3.0,0.5,3,0.8715274827324158
164,4,50,110,-2.0,0.1,4,0.8696261613682714
166,5,50,90,-2.0,0.5,3,0.9575611613840191
167,9,60,130,-3.0,0.5,5,0.8659878315116012
168,10,60,120,-3.0,0.1,2,0.8204356590033864
169,8,20,110,-3.0,1.0,2,0.9404464037662437
170,8,30,150,-3.0,0.5,3,0.9108093051335202
171,4,30,100,-2.0,0.5,5,0.7293372057125672
172,5,20,100,-3.0,0.1,3,0.878340249989549
173,3,20,110,-3.0,0.1,4,0.8984809527633046
174,2,30,90,-2.0,0.1,5,0.8632731592658277
175,2,40,120,-3.0,0.5,5,0.7804568453551373
176,5,30,130,-2.0,0.5,4,0.8385377026462979
177,2,30,100,-3.0,0.5,5,0.824293809443582
179,5,30,120,-3.0,0.5,4,0.8792198592910623
180,5,30,140,-2.0,0.1,2,0.891303364667094
182,4,60,130,-3.0,0.1,4,0.8607665571295811
183,6,30,120,-3.0,0.1,2,0.87071345790057
184,10,60,110,-3.0,1.0,4,0.8569282099821514
185,3,40,140,-2.0,0.1,4,0.8627936881292522
186,5,50,150,-3.0,0.5,4,0.8727541400336065
187,4,50,150,-2.0,0.1,4,0.8569418540194267
188,9,30,100,-2.0,0.5,2,0.9528491958440986
189,5,60,90,-3.0,0.1,4,0.8895197551223977
190,3,60,120,-2.0,0.1,4,0.8186168023401328
191,4,30,90,-3.0,1.0,4,0.8799894986562108
193,8,60,130,-3.0,0.5,2,0.8618036046291511
