,standard_deviation
Protein_TMEM132B,0.5458475986362572
Protein_IGHA1.1,0.5455269284497513
Protein_HGFAC,0.5449183181086623
Protein_SHMT2,0.5443504902429719
Protein_PRSS1,0.544189006475804
Protein_MBL2,0.5436583514312767
Protein_APOH,0.5436338506726848
Protein_LGMN.1,0.5426925503840554
Protein_GPD1,0.5423906457959687
Protein_FABP1,0.5407064018558014
Protein_SERPINC1,0.5404976352867925
Protein_DKK4,0.5403327120401794
Protein_TFF2.1,0.5400083543030842
Protein_AMBN,0.5396010240632683
Protein_KMT2C,0.5389944851280263
Protein_MAN2B2,0.5388653867050397
Protein_IGHM,0.5380988121934003
Protein_UCMA,0.5378532530036664
Protein_NBL1,0.5368462647567773
Protein_KNG1,0.5364457965485483
Protein_CBLN4,0.536124330821194
Protein_PGLYRP2,0.5359988120267472
Protein_EBI3,0.5359395098284462
Protein_CBR3,0.5351605425332431
Protein_LCN2,0.5351465581499487
Protein_SERPINA5,0.5345634002528149
Protein_VWF,0.5338822206904851
Protein_NLGN3,0.5334079466147026
Protein_IGFL4,0.5330883184291377
Protein_HNF4A,0.530807249730389
Protein_F2,0.5307173327865116
Protein_NEFL,0.5305657390777264
Protein_PCSK1,0.529542652275381
Protein_SNN,0.5280682569389936
Protein_TST,0.5279443461772813
Protein_ARPC1B,0.527689639091543
Protein_CD33,0.5274359905294296
Protein_CTSH.1,0.5267553041527876
Protein_LDHA,0.5266463176957834
Protein_CXCL13,0.5264176307175393
Protein_PREP,0.5261223685373827
Protein_MSMP,0.5256130802118731
Protein_EIF2AK4,0.5254198820414049
Protein_IFI16.1,0.5250702494529669
Protein_NPTX2,0.5247924457368588
Protein_KNG1.1,0.5243542698732024
Protein_LILRB1,0.524048803769483
Protein_TNFSF8,0.5235351274046856
Protein_FTH1,0.5223005544543111
Protein_PLEK,0.5209466205666611
Protein_AXL,0.5208182898081005
Protein_HPX,0.5201445901519435
Protein_ISLR2.1,0.5191457402639009
Protein_FCN2,0.5190499099037801
Protein_C4BPA,0.5189103274372407
Protein_EIF5A,0.5177083430543353
Protein_RPS27A.1,0.5176721443368507
Protein_REG1A,0.5167215527092631
Protein_CRABP1,0.5161066936267306
Protein_KLK3,0.5132053515963887
Protein_HSPD1,0.5129132344091063
Protein_CPNE1.1,0.5128866606877348
Protein_NEFH,0.5128740529539516
Protein_CYTL1,0.5126135892535184
Protein_PIP4K2A,0.511867362711575
Protein_ANGPTL3,0.5118038828577985
Protein_PAK6,0.5114444872182781
Protein_WSCD2,0.511283500437267
Protein_XCL1,0.5103888218239243
Protein_BPGM,0.5101157985441056
Protein_SERPINA3.1,0.5100972622484352
Protein_EPYC,0.5095729152334127
Protein_NLGN2.1,0.5091288786786959
Protein_KIF1BP,0.5086789915911866
Protein_EPB41,0.5081232594521538
Protein_PRSS22,0.507357414497349
Protein_CPXM1,0.5073068912895684
Protein_FAM3B,0.5071354056264025
Protein_LEP.1,0.5061123834852495
Protein_LCT,0.5061078414072848
Protein_MZB1,0.5054165825485992
Protein_PGF,0.5054118894907409
Protein_WISP2,0.5051214640520133
Protein_KIAA1549L,0.5048489016742851
Protein_ERH,0.5047452014319499
Protein_RAN,0.5043003470675037
Protein_CBLN1,0.503706423679
Protein_ADH5,0.5016580738331362
Protein_UST,0.5016095005601363
Protein_MFGE8,0.5008541475500957
Protein_CPZ,0.49938237985071415
Protein_EPHB6,0.4986655850947366
Protein_GZMA.1,0.4984863171116245
Protein_NLGN4X,0.4975426512863223
Protein_PSMB5,0.4973908577238633
Protein_DDR2.1,0.4966228296805584
Protein_GPNMB,0.49646112544868054
Protein_RARRES1,0.4960675348175997
Protein_ENPP7,0.49599535355906493
Protein_FAM19A1,0.4956891997011138
Protein_GDA,0.495454162229313
Protein_TAC1.1,0.4951568993264044
Protein_FAM171B.2,0.49506182153879114
Protein_ANXA2,0.49424776160951117
Protein_PRSS2,0.4931574224580277
Protein_CTAG1A,0.49291809893089455
Protein_F9,0.49254639434877606
Protein_IL13,0.4924803648694192
Protein_BAGE2,0.49053739453845724
Protein_CCL19,0.4898992599355869
Protein_GRIA4,0.4883053135800925
Protein_RCN1,0.4882571495045701
Protein_SPINT2,0.48750728677422084
Protein_CCL8,0.48748325024539574
Protein_GDF15,0.48740931226095024
Protein_TNFRSF10D,0.48727790194248366
Protein_CPB1,0.48707462748012476
Protein_KRT1,0.48693858386240824
Protein_GFRA2,0.48655297444693163
Protein_CDC42,0.4863178611321797
Protein_PENK,0.4861624960319401
Protein_RMDN1,0.485963850660128
Protein_STOX1,0.4859041100174527
Protein_SHBG,0.4857961006086526
Protein_IL6.1,0.48558293601244334
Protein_MMRN2,0.48548163797653915
Protein_CILP,0.4847871655326541
Protein_F13B,0.48461718893853056
Protein_TMPO,0.4845502387618479
Protein_FAM171B.1,0.484475352153146
Protein_RNASE6,0.4841569646511051
Protein_PCDHA7,0.4814671887185005
Protein_DDR1.2,0.48054623733700874
Protein_CA6.1,0.4790650040992717
Protein_SORCS2,0.47881166518616797
Protein_LYZ,0.4785451133075323
Protein_C4A.1,0.4776999383997769
Protein_SLITRK1,0.47760310138321815
Protein_AKR7A2,0.47709877273216883
Protein_LILRB5,0.47658433430291286
Protein_NRXN1,0.4765144572565842
Protein_CACNA2D3,0.47609669086352085
Protein_FGFBP3,0.47598995828808516
Protein_LRPAP1,0.4756794644706409
Protein_SPRN,0.4753944367599407
Protein_MPO,0.47537185996219894
Protein_LILRA6,0.4753553018356667
Protein_C12orf10,0.4746910846432675
Protein_C1R,0.474007359296378
Protein_CD36,0.47394107807082025
Protein_PSAPL1,0.4736758068047651
Protein_MRPL14,0.4729420775564996
Protein_CHST15.1,0.47290996344328207
Protein_UNC5D.1,0.47270481654484914
Protein_TPSB2.1,0.47206429047728443
Protein_FAM3B.1,0.47188413357904463
Protein_MAPK3,0.4714989535787519
Protein_ANXA2.1,0.47144395753019386
Protein_PCSK9.1,0.4712149552776236
