,dim 1,dim 2,dim 3,dim 4,dim 5,dim 6,dim 7,dim 8
26,0.1049957,0.0081086755,-0.29787946,0.0029985309,-0.023944039,-0.30671656,0.0040351897,0.002029866
27,0.094092935,0.0042490363,-0.036018282,-0.008236188,-0.06420084,-0.80677027,0.009261388,-0.04202336
28,-0.032140955,-0.06423426,0.038528517,0.018084027,0.016757302,-0.031877458,-0.005885303,0.070602
29,-0.3711179,-0.11986914,-0.008323118,0.047675878,0.18278462,2.0202746,-0.019624073,0.16064864
30,0.1167658,0.030439474,-0.6820165,0.012601003,0.024136007,0.37421486,0.0006439164,0.03241834
31,0.16534162,0.04126277,-0.44002402,-0.0044803247,-0.043892305,-0.44636872,0.008876249,-0.031968474
32,0.26549378,0.07806446,-0.4527741,-0.02037207,-0.10336198,-1.0848198,0.01750891,-0.094745934
33,-0.27856308,-0.12292135,0.64711577,0.015343808,0.036021642,0.13714753,-0.005409956,0.048277915
34,-0.22316632,-0.13435394,0.5329533,0.025075503,0.045988545,0.15877286,-0.011271067,0.098885566
35,0.12180248,0.013445571,0.14935958,-0.021581616,-0.113731876,-1.3916411,0.015842851,-0.09408122
36,0.5574306,0.24643457,-1.8513732,-0.024650231,-0.07856274,-0.24297725,0.026238525,-0.1373379
37,0.0050394833,-0.0016972423,-0.3790778,0.0123189315,0.032155998,0.41635036,8.346513e-05,0.028273165
38,0.19683325,0.066945866,-0.5273786,-0.011214931,-0.058190107,-0.5275991,0.013232436,-0.064165324
39,-0.5551354,-0.3071569,2.1775181,0.019500606,-0.0058113784,-0.9994909,-0.015160117,0.098926395
40,0.021306455,-0.0053629577,-0.27171063,0.0083252415,0.01009509,0.11634518,0.0015985109,0.016396344
41,0.37566176,0.14419845,-1.1259953,-0.01586119,-0.069907635,-0.46099207,0.018044248,-0.08784285
42,0.31134185,0.11768141,-1.0039021,-0.010099731,-0.049954563,-0.28697875,0.014444314,-0.06379795
43,-0.33112139,-0.20335954,1.694525,-0.0024612695,-0.073492855,-1.5300729,-0.0010597073,0.0031723082
44,0.1446428,0.021962702,-0.044329613,-0.015806247,-0.0932394,-1.121103,0.013354529,-0.071596384
45,-0.25047,-0.15784344,0.72003156,0.02590675,0.039367028,-0.008567698,-0.012740258,0.10765645
46,0.040214688,-0.021288618,0.18334329,-0.007828105,-0.06596624,-0.902012,0.008151777,-0.03787282
47,0.26765713,0.06937396,-0.36523575,-0.021122158,-0.11329527,-1.2483852,0.017339766,-0.09390253
48,0.083147556,-0.03320785,0.7328866,-0.030621555,-0.17015988,-2.2652185,0.017839987,-0.11635947
49,0.055812538,-0.022249684,0.27766484,-0.01229177,-0.08747837,-1.1821432,0.0100535005,-0.052769274
50,0.46235088,0.17697549,-1.3391206,-0.019988753,-0.085899025,-0.5763159,0.020997135,-0.10480386
51,-0.016790718,-0.030344352,0.050140783,0.0032319576,-0.01583803,-0.28451133,0.0029693507,0.0010011792
52,-0.018201008,-0.06855163,0.90849096,-0.02338902,-0.14051548,-1.9829085,0.013416778,-0.088284165
53,0.16018885,0.046387628,-0.61490417,0.0021155402,-0.014644068,-0.061219145,0.0060938597,-0.008892298
54,0.2982767,0.12313887,-0.79433316,-0.022590943,-0.087053925,-0.7032298,0.020828899,-0.1168119
55,0.27937773,0.10838552,-0.60276026,-0.02571699,-0.103871025,-0.9613234,0.021657027,-0.12585467
56,-0.14664821,-0.07931143,0.40074557,0.007807024,0.0024070293,-0.18081558,-0.00068268925,0.020051628
57,0.016578227,0.011838451,-0.63268614,0.019114345,0.06350675,0.85231686,-0.0024810955,0.0511418
58,0.13464147,0.07186642,-1.1440233,0.018047586,0.06983024,1.1099463,0.00026767328,0.039743274
59,0.24373546,0.088594854,-0.89647746,-0.0025032014,-0.024334703,-0.053030226,0.009858426,-0.031998277
60,-0.11345522,-0.058180764,-0.18691935,0.027729422,0.08046803,0.84231454,-0.009268146,0.09442747
61,0.30552635,0.15456209,-1.5911729,0.0037318692,0.02966822,0.8615326,0.010069676,-0.025151104
62,0.114632875,0.0204404,-0.38726652,0.0021822378,-0.020437889,-0.2145416,0.005035907,-0.0047323704
63,0.00051155686,0.006261334,0.18059352,-0.018660307,-0.07239723,-0.8185479,0.015304465,-0.09700963
64,0.23491338,0.09824453,-1.0504178,0.0012190044,-0.0009488836,0.2847768,0.008740917,-0.022520363
65,-0.13329628,-0.07496844,0.10429263,0.020524539,0.04765568,0.38034278,-0.0066106953,0.07007322
66,0.029542029,-0.027701527,0.17934024,-0.0048333257,-0.05681271,-0.811229,0.006469667,-0.025084704
67,0.0702855,-0.008094072,0.092661925,-0.009188615,-0.06987479,-0.91351074,0.009247813,-0.044206828
68,-0.097242996,-0.022168845,0.18983573,-0.0061044097,-0.019360151,-0.22157009,0.008715514,-0.05031815
69,0.29081652,0.13041885,-1.1114128,-0.009818345,-0.033168998,-0.005450895,0.01526168,-0.07071
70,0.4704816,0.20987087,-2.0923173,0.0035491958,0.02161248,0.8821748,0.011636544,-0.024524689
71,-0.6626382,-0.31412843,1.4957495,0.05748689,0.15825756,1.0606639,-0.03248376,0.2353478
72,0.27025285,0.11786283,-0.69541466,-0.024955504,-0.09122238,-0.7550877,0.021938872,-0.12795854
